,Name,Linea,Lon,Lat,UTM
359,Cno de Ronda - Alcazar del Genil,SN5,-3.6022086927900006,37.1642161594,"(446533.02083143697, 4113259.40149095)"
360,Cno de Ronda -Jardin de la Reina,NOCTURNA,-3.6023446297,37.1643146235,"(446521.02095427195, 4113270.401545933)"
361,Cno de Ronda -Jardin de la Reina,U3,-3.6023446297,37.1643146235,"(446521.02095427195, 4113270.401545933)"
362,Cno de Ronda -Jardin de la Reina,SN1,-3.6023446297,37.1643146235,"(446521.02095427195, 4113270.401545933)"
363,Cno de Ronda -Jardin de la Reina,SN2,-3.6023446297,37.1643146235,"(446521.02095427195, 4113270.401545933)"
364,Cno de Ronda -Jardin de la Reina,SN3,-3.6023446297,37.1643146235,"(446521.02095427195, 4113270.401545933)"
365,Cno de Ronda -Jardin de la Reina,SN5,-3.6023446297,37.1643146235,"(446521.02095427195, 4113270.401545933)"
366,Cno de Ronda 100,NOCTURNA,-3.60744767724,37.1728789569,"(446074.02984993416, 4114223.402259355)"
367,Cno de Ronda 100,U3,-3.60744767724,37.1728789569,"(446074.02984993416, 4114223.402259355)"
368,Cno de Ronda 100,SN1,-3.60744767724,37.1728789569,"(446074.02984993416, 4114223.402259355)"
369,Cno de Ronda 100,SN2,-3.60744767724,37.1728789569,"(446074.02984993416, 4114223.402259355)"
370,Cno de Ronda 100,SN3,-3.60744767724,37.1728789569,"(446074.02984993416, 4114223.402259355)"
371,Cno de Ronda 100,SN4,-3.60744767724,37.1728789569,"(446074.02984993416, 4114223.402259355)"
372,Cno de Ronda 100,SN5,-3.60744767724,37.1728789569,"(446074.02984993416, 4114223.402259355)"
373,Cno de Ronda 115,NOCTURNA,-3.61010458636,37.1769035942,"(445841.03409780737, 4114671.4027769403)"
374,Cno de Ronda 115,U3,-3.61010458636,37.1769035942,"(445841.03409780737, 4114671.4027769403)"
375,Cno de Ronda 115,SN1,-3.61010458636,37.1769035942,"(445841.03409780737, 4114671.4027769403)"
376,Cno de Ronda 115,SN2,-3.61010458636,37.1769035942,"(445841.03409780737, 4114671.4027769403)"
377,Cno de Ronda 115,SN3,-3.61010458636,37.1769035942,"(445841.03409780737, 4114671.4027769403)"
378,Cno de Ronda 115,SN4,-3.61010458636,37.1769035942,"(445841.03409780737, 4114671.4027769403)"
379,Cno de Ronda 125,NOCTURNA,-3.6109158889499997,37.1783326439,"(445770.03557115636, 4114830.402863005)"
380,Cno de Ronda 125,SN2,-3.6109158889499997,37.1783326439,"(445770.03557115636, 4114830.402863005)"
381,Cno de Ronda 125,SN4,-3.6109158889499997,37.1783326439,"(445770.03557115636, 4114830.402863005)"
382,Cno de Ronda 130,NOCTURNA,-3.6092856651,37.1759252773,"(445913.03301921237, 4114562.4025221565)"
383,Cno de Ronda 130,U3,-3.6092856651,37.1759252773,"(445913.03301921237, 4114562.4025221565)"
384,Cno de Ronda 130,SN1,-3.6092856651,37.1759252773,"(445913.03301921237, 4114562.4025221565)"
385,Cno de Ronda 130,SN2,-3.6092856651,37.1759252773,"(445913.03301921237, 4114562.4025221565)"
386,Cno de Ronda 130,SN3,-3.6092856651,37.1759252773,"(445913.03301921237, 4114562.4025221565)"
387,Cno de Ronda 130,SN4,-3.6092856651,37.1759252773,"(445913.03301921237, 4114562.4025221565)"
388,Cno de Ronda 130,SN5,-3.6092856651,37.1759252773,"(445913.03301921237, 4114562.4025221565)"
389,Cno de Ronda 148-Mendez Nu?ez,NOCTURNA,-3.6107701730699997,37.1784235341,"(445783.0356118343, 4114840.40273027)"
390,Cno de Ronda 148-Mendez Nu?ez,C6,-3.6107701730699997,37.1784235341,"(445783.0356118343, 4114840.40273027)"
391,Cno de Ronda 148-Mendez Nu?ez,SN2,-3.6107701730699997,37.1784235341,"(445783.0356118343, 4114840.40273027)"
392,Cno de Ronda 148-Mendez Nu?ez,SN4,-3.6107701730699997,37.1784235341,"(445783.0356118343, 4114840.40273027)"
393,Cno de Ronda 153,NOCTURNA,-3.61277689895,37.1814058298,"(445607.038769059, 4115172.4031423973)"
394,Cno de Ronda 153,SN2,-3.61277689895,37.1814058298,"(445607.038769059, 4115172.4031423973)"
395,Cno de Ronda 153,SN4,-3.61277689895,37.1814058298,"(445607.038769059, 4115172.4031423973)"
396,Cno de Ronda 157,NOCTURNA,-3.6138392709599994,37.1832211621,"(445514.0406488719, 4115374.403273385)"
397,Cno de Ronda 157,SN2,-3.6138392709599994,37.1832211621,"(445514.0406488719, 4115374.403273385)"
398,Cno de Ronda 157,SN4,-3.6138392709599994,37.1832211621,"(445514.0406488719, 4115374.403273385)"
399,Cno de Ronda 172,NOCTURNA,-3.61217447134,37.1807419051,"(445660.03802586265, 4115098.402944834)"
400,Cno de Ronda 172,C6,-3.61217447134,37.1807419051,"(445660.03802586265, 4115098.402944834)"
401,Cno de Ronda 172,SN2,-3.61217447134,37.1807419051,"(445660.03802586265, 4115098.402944834)"
402,Cno de Ronda 172,SN4,-3.61217447134,37.1807419051,"(445660.03802586265, 4115098.402944834)"
403,Cno de Ronda 184,NOCTURNA,-3.6132932187300004,37.1825659656,"(445562.03992718604, 4115301.403108119)"
404,Cno de Ronda 184,C6,-3.6132932187300004,37.1825659656,"(445562.03992718604, 4115301.403108119)"
405,Cno de Ronda 184,SN2,-3.6132932187300004,37.1825659656,"(445562.03992718604, 4115301.403108119)"
406,Cno de Ronda 184,SN4,-3.6132932187300004,37.1825659656,"(445562.03992718604, 4115301.403108119)"
407,Cno de Ronda 193 - Estadio de la Juventud,NOCTURNA,-3.61481266372,37.185172155100005,"(445429.04262383725, 4115591.4033063105)"
408,Cno de Ronda 193 - Estadio de la Juventud,SN2,-3.61481266372,37.185172155100005,"(445429.04262383725, 4115591.4033063105)"
409,Cno de Ronda 193 - Estadio de la Juventud,SN4,-3.61481266372,37.185172155100005,"(445429.04262383725, 4115591.4033063105)"
410,Cno de Ronda 194 - Estadio de la Juventud,NOCTURNA,-3.61426447449,37.184255569,"(445477.0416723246, 4115489.4032254033)"
411,Cno de Ronda 194 - Estadio de la Juventud,C6,-3.61426447449,37.184255569,"(445477.0416723246, 4115489.4032254033)"
412,Cno de Ronda 194 - Estadio de la Juventud,SN2,-3.61426447449,37.184255569,"(445477.0416723246, 4115489.4032254033)"
413,Cno de Ronda 194 - Estadio de la Juventud,SN4,-3.61426447449,37.184255569,"(445477.0416723246, 4115489.4032254033)"
414,Cno de Ronda 210,NOCTURNA,-3.6146595837800004,37.1871379955,"(445444.04431459133, 4115809.402536133)"
415,Cno de Ronda 210,SN2,-3.6146595837800004,37.1871379955,"(445444.04431459133, 4115809.402536133)"
416,Cno de Ronda 210,SN4,-3.6146595837800004,37.1871379955,"(445444.04431459133, 4115809.402536133)"
417,Cno de Ronda 27,NOCTURNA,-3.6033601687699996,37.165968042399996,"(446432.022679158, 4113454.4017059132)"
418,Cno de Ronda 27,U3,-3.6033601687699996,37.165968042399996,"(446432.022679158, 4113454.4017059132)"
419,Cno de Ronda 27,SN1,-3.6033601687699996,37.165968042399996,"(446432.022679158, 4113454.4017059132)"
420,Cno de Ronda 27,SN2,-3.6033601687699996,37.165968042399996,"(446432.022679158, 4113454.4017059132)"
421,Cno de Ronda 27,SN3,-3.6033601687699996,37.165968042399996,"(446432.022679158, 4113454.4017059132)"
422,Cno de Ronda 27,SN5,-3.6033601687699996,37.165968042399996,"(446432.022679158, 4113454.4017059132)"
423,Cno de Ronda 38,NOCTURNA,-3.6037499803199995,37.1668314047,"(446398.0235430085, 4113550.4016917613)"
424,Cno de Ronda 38,U3,-3.6037499803199995,37.1668314047,"(446398.0235430085, 4113550.4016917613)"
425,Cno de Ronda 38,SN1,-3.6037499803199995,37.1668314047,"(446398.0235430085, 4113550.4016917613)"
426,Cno de Ronda 38,SN2,-3.6037499803199995,37.1668314047,"(446398.0235430085, 4113550.4016917613)"
427,Cno de Ronda 38,SN3,-3.6037499803199995,37.1668314047,"(446398.0235430085, 4113550.4016917613)"
428,Cno de Ronda 38,SN5,-3.6037499803199995,37.1668314047,"(446398.0235430085, 4113550.4016917613)"
429,Cno de Ronda 53-Alhamar,NOCTURNA,-3.6045370212,37.1680713306,"(446329.0248439054, 4113688.4018226955)"
430,Cno de Ronda 53-Alhamar,U3,-3.6045370212,37.1680713306,"(446329.0248439054, 4113688.4018226955)"
431,Cno de Ronda 53-Alhamar,SN1,-3.6045370212,37.1680713306,"(446329.0248439054, 4113688.4018226955)"
432,Cno de Ronda 53-Alhamar,SN2,-3.6045370212,37.1680713306,"(446329.0248439054, 4113688.4018226955)"
433,Cno de Ronda 53-Alhamar,SN3,-3.6045370212,37.1680713306,"(446329.0248439054, 4113688.4018226955)"
434,Cno de Ronda 53-Alhamar,SN5,-3.6045370212,37.1680713306,"(446329.0248439054, 4113688.4018226955)"
435,Cno de Ronda 60,NOCTURNA,-3.6049470874300003,37.1686461371,"(446293.0254590488, 4113752.4019202087)"
436,Cno de Ronda 60,U3,-3.6049470874300003,37.1686461371,"(446293.0254590488, 4113752.4019202087)"
437,Cno de Ronda 60,SN1,-3.6049470874300003,37.1686461371,"(446293.0254590488, 4113752.4019202087)"
438,Cno de Ronda 60,SN2,-3.6049470874300003,37.1686461371,"(446293.0254590488, 4113752.4019202087)"
439,Cno de Ronda 60,SN3,-3.6049470874300003,37.1686461371,"(446293.0254590488, 4113752.4019202087)"
440,Cno de Ronda 60,SN5,-3.6049470874300003,37.1686461371,"(446293.0254590488, 4113752.4019202087)"
441,Cno de Ronda 83,NOCTURNA,-3.6072290531199998,37.1723031799,"(446093.02928420727, 4114159.402291918)"
442,Cno de Ronda 83,U3,-3.6072290531199998,37.1723031799,"(446093.02928420727, 4114159.402291918)"
443,Cno de Ronda 83,SN1,-3.6072290531199998,37.1723031799,"(446093.02928420727, 4114159.402291918)"
444,Cno de Ronda 83,SN2,-3.6072290531199998,37.1723031799,"(446093.02928420727, 4114159.402291918)"
445,Cno de Ronda 83,SN3,-3.6072290531199998,37.1723031799,"(446093.02928420727, 4114159.402291918)"
446,Cno de Ronda 83,SN4,-3.6072290531199998,37.1723031799,"(446093.02928420727, 4114159.402291918)"
447,Cno de Ronda 83,SN5,-3.6072290531199998,37.1723031799,"(446093.02928420727, 4114159.402291918)"
448,Cno de Ronda 97,NOCTURNA,-3.6083362909100014,37.1741273498,"(445996.03118425864, 4114362.402466495)"
449,Cno de Ronda 97,U3,-3.6083362909100014,37.1741273498,"(445996.03118425864, 4114362.402466495)"
450,Cno de Ronda 97,SN1,-3.6083362909100014,37.1741273498,"(445996.03118425864, 4114362.402466495)"
451,Cno de Ronda 97,SN2,-3.6083362909100014,37.1741273498,"(445996.03118425864, 4114362.402466495)"
452,Cno de Ronda 97,SN3,-3.6083362909100014,37.1741273498,"(445996.03118425864, 4114362.402466495)"
453,Cno de Ronda 97,SN4,-3.6083362909100014,37.1741273498,"(445996.03118425864, 4114362.402466495)"
454,Cno de Ronda 97,SN5,-3.6083362909100014,37.1741273498,"(445996.03118425864, 4114362.402466495)"
455,Cno de las Conejeras - El Serrallo 2,S1,-3.5785969238800015,37.157717346300004,"(448625.0088390357, 4112525.3870181288)"
456,Cno de las Conejeras - El Serrallo 2,SN3,-3.5785969238800015,37.157717346300004,"(448625.0088390357, 4112525.3870181288)"
457,Cno de las Conejeras 137,S1,-3.57672263069,37.1570864735,"(448791.0077853589, 4112454.3859111187)"
458,Cno de las Conejeras 137,SN3,-3.57672263069,37.1570864735,"(448791.0077853589, 4112454.3859111187)"
459,Cno del Sacromonte 1- Peso de la Harina,C2,-3.58848692371,37.181231346,"(447763.0321881938, 4115139.38607402)"
460,Cno del Sacromonte 109,C2,-3.58197608018,37.1813175475,"(448341.030541884, 4115145.3814594243)"
461,Cno del Sacromonte 39,C2,-3.5869748865699993,37.1809143328,"(447897.03150929743, 4115103.385121874)"
462,Cno del Sacromonte 89,C2,-3.5839510878400005,37.1817765706,"(448166.0314694955, 4115197.3826905023)"
463,Cno del Sacromonte Fte 109,C2,-3.5822579166900015,37.1813432066,"(448316.03063898574, 4115148.3816462043)"
464,Cno del Sacromonte Fte 89,C2,-3.5838729241199996,37.1818670953,"(448173.03152804903, 4115207.3826064607)"
465,Cno del Sacromonte fte 39,C2,-3.5871901777399997,37.181075519299995,"(447878.03170804173, 4115121.3852099264)"
466,Cristo de la Yedra 19,C2,-3.60166826056,37.1869972775,"(446597.04075533536, 4115786.393427068)"
467,Cristo de la Yedra 33,C2,-3.6000948706300004,37.1874920023,"(446737.04077467206, 4115840.3921576636)"
468,Cruz de Lagos 3,S0,-3.60216419239,37.162864282600005,"(446536.0196285052, 4113109.40191056)"
469,Cruz de Lagos 3,SN5,-3.60216419239,37.162864282600005,"(446536.0196285052, 4113109.40191056)"
470,Cruz de Sur,LAC,-3.61478596359,37.1888319679,"(445434.04583953496, 4115997.4020609576)"
471,Cruz del Sur,N3,-3.6147749893,37.1888680806,"(445435.04586815566, 4116001.4020332377)"
472,Cruz del Sur,N4,-3.6147749893,37.1888680806,"(445435.04586815566, 4116001.4020332377)"
473,Cruz del Sur,SN2,-3.6147749893,37.1888680806,"(445435.04586815566, 4116001.4020332377)"
474,Cruz del Sur - Av de Andalucia,SN2,-3.6145723432,37.188887158600004,"(445453.0458308412, 4116003.4018817237)"
475,Ctra Alfacar - CEIP Juan Ramon Jimenez,N7,-3.5997391389599995,37.1995094277,"(446777.0512686419, 4117173.3878596392)"
476,Ctra Alfacar - CEIP Juan Ramon Jimenez,U1,-3.5997391389599995,37.1995094277,"(446777.0512686419, 4117173.3878596392)"
477,Ctra Alfacar - CEIP Juan Ramon Jimenez,U3,-3.5997391389599995,37.1995094277,"(446777.0512686419, 4117173.3878596392)"
478,Ctra Alfacar - Caseria Montijo,U1,-3.59961284296,37.1992126054,"(446788.0509731405, 4117140.3878717367)"
479,Ctra Alfacar - Caseria Montijo,U3,-3.59961284296,37.1992126054,"(446788.0509731405, 4117140.3878717367)"
480,Ctra Alfacar - IES Aynadamar,N7,-3.6012014938199997,37.1949229294,"(446644.04761350976, 4116665.3904388435)"
481,Ctra Alfacar - IES Aynadamar,U1,-3.6012014938199997,37.1949229294,"(446644.04761350976, 4116665.3904388435)"
482,Ctra Alfacar - IES Aynadamar,U3,-3.6012014938199997,37.1949229294,"(446644.04761350976, 4116665.3904388435)"
483,Ctra Alfacar - INEF 1,NOCTURNA,-3.59725536058,37.2046328765,"(447001.05512740294, 4117740.3843891397)"
484,Ctra Alfacar - INEF 1,N7,-3.59725536058,37.2046328765,"(447001.05512740294, 4117740.3843891397)"
485,Ctra Alfacar - INEF 1,U3,-3.59725536058,37.2046328765,"(447001.05512740294, 4117740.3843891397)"
486,Ctra Alfacar - INEF 1,SN5,-3.59725536058,37.2046328765,"(447001.05512740294, 4117740.3843891397)"
487,Ctra Alfacar - INEF 2,NOCTURNA,-3.59735734562,37.2047044746,"(446992.05521698104, 4117748.384440678)"
488,Ctra Alfacar - INEF 2,N7,-3.59735734562,37.2047044746,"(446992.05521698104, 4117748.384440678)"
489,Ctra Alfacar - INEF 2,U3,-3.59735734562,37.2047044746,"(446992.05521698104, 4117748.384440678)"
490,Ctra Alfacar - INEF 2,SN5,-3.59735734562,37.2047044746,"(446992.05521698104, 4117748.384440678)"
491,Ctra Alfacar -Jefatura Trafico,N7,-3.60129912761,37.1958689013,"(446636.04847326665, 4116770.390184994)"
492,Ctra Alfacar -Jefatura Trafico,U1,-3.60129912761,37.1958689013,"(446636.04847326665, 4116770.390184994)"
493,Ctra Alfacar -Jefatura Trafico,U3,-3.60129912761,37.1958689013,"(446636.04847326665, 4116770.390184994)"
494,Ctra Alfacar 1- Caseria Montijo,U1,-3.6002893428500005,37.1978390609,"(446727.0499422182, 4116988.3888126803)"
495,Ctra Alfacar 1- Caseria Montijo,U3,-3.6002893428500005,37.1978390609,"(446727.0499422182, 4116988.3888126803)"
496,Ctra Alfacar 27 - Caseria Montijo,N7,-3.6003350547900004,37.1979199553,"(446723.0500255786, 4116997.3888233365)"
497,Ctra Alfacar 27 - Caseria Montijo,U1,-3.6003350547900004,37.1979199553,"(446723.0500255786, 4116997.3888233365)"
498,Ctra Alfacar 27 - Caseria Montijo,U3,-3.6003350547900004,37.1979199553,"(446723.0500255786, 4116997.3888233365)"
499,carretera dilar - rotonda avenida ilustracion,U3,-3.6021023610300005,37.1493705957,"(446532.00772659696, 4111612.406429428)"
